sample,analysis_type_uid,PC1,PC2,PC3
B8a-B1ir-B1iq-B19bw-B8j-B8i-B8k,1576986,0.14514974279957932,-0.030787952393890792,-0.0
B8a-B1gb-B8f-B8i-B1ga-B1is,1576988,-0.1556857376981397,-0.0249334524264372,-0.0
B8a-B1is-B8f-B8l-B8i,1576989,0.010535994898560374,0.055721404820328016,-0.0
proportion_explained,0,0.9066826177101989,0.09331738228980116,0.0
