sample,analysis_type_uid,PC1,PC2,PC3
B8a-B1ir-B1iq-B19bw-B8j-B8i-B8k,1576986,0.2473337106772105,0.06745021709672798,0.0
B8a-B1gb-B8f-B8i-B1ga-B1is,1576988,-0.30334371294391876,0.03591120704143991,0.0
B8a-B1is-B8f-B8l-B8i,1576989,0.05601000226670816,-0.10336142413816804,0.0
proportion_explained,0,0.9044106819843606,0.0955893180156394,0.0
