Sample,Temp,Tank,Treatment,Week,MC,R,Pnet,Pgross,PRDAILY,cells,Necrosis,AvgT,Mortality
HC1.4,29,C1,Ctrl,4,H,0.127594316,0.072785761,0.200380077,0.785223368,438.0411278,0,2.368421053,0
HC2.1,29,C2,Ctrl,1,H,0.123513364,0.129002846,0.25251621,1.022222219,1233.759249,0,1.552631579,0
HC2.2,29,C2,Ctrl,2,H,0.081458523,0.083315883,0.164774406,1.011400649,1755.385402,0,1.342105263,0
HC2.3,29,C2,Ctrl,3,H,0.162510653,0.092974845,0.255485498,0.786057693,810.2743619,0,1.289473684,0
HC2.4,29,C2,Ctrl,4,H,0.108978416,0.104412836,0.213391252,0.979052825,1905.890887,0,1.342105263,0
HE1.1,30,E1,Exp,1,H,0.0651815,0.079216932,0.144398432,1.10766423,2817.509787,0,0.526315789,0
HE1.2,31,E1,Exp,2,H,0.119594672,0.094972239,0.214566911,0.897058821,1508.954051,0,0,0
HE1.3,32A,E1,Exp,3,H,0.108740252,0.296989506,0.405729758,1.8655914,1354.171187,0,0,0
HE1.4,32B,E1,Exp,4,H,0.046899272,0.087314774,0.134214046,1.430875579,1489.267653,0,0,0
HE2.1,30,E2,Exp,1,H,0.072029542,0.134399949,0.206429491,1.432950185,2030.883388,0,0.394736842,0
HE2.2,31,E2,Exp,2,H,0.053953547,0.025355219,0.079308766,0.734972679,349.023998,0,0,0
HE2.3,32A,E2,Exp,3,H,-0.007153736,0.058709974,0.051556238,-3.603448464,647.802896,0,0,0
HE2.4,32B,E2,Exp,4,H,0.064338227,0.029353249,0.093691476,0.728116707,465.84608,0,0,0
IC1.1,29,C1,Ctrl,1,I,0.22157614,0.108217581,0.329793721,0.744199536,2883.241723,0,2.894736842,0
IC1.2,29,C1,Ctrl,2,I,0.086278493,0.210051844,0.296330337,1.717289713,2462.174243,0,2.947368421,0
IC1.3,29,C1,Ctrl,3,I,0.12646303,0.087992764,0.214455794,0.847899161,3818.111009,0,2.894736842,0
IC1.4,29,C1,Ctrl,4,I,0.203130837,0.092910278,0.296041115,0.728695651,1203.115121,0,2.631578947,0
IC2.1,29,C2,Ctrl,1,I,0.046524745,0.111197439,0.157722184,1.695035448,3536.776513,0,1.342105263,0
IC2.2,29,C2,Ctrl,2,I,0.05042614,0.099622374,0.150048514,1.487804877,1955.657254,0,0.789473684,0
IC2.3,29,C2,Ctrl,3,I,0.214637244,0.17968863,0.394325874,0.91858679,1134.585386,0,0.842105263,0
IC2.4,29,C2,Ctrl,4,I,0.143395548,0.080482877,0.223878425,0.780632412,2562.15344,0,0.157894737,0
IE1.1,30,E1,Exp,1,I,0.061912112,0.178936739,0.240848851,1.945086698,2580.019341,0,0.736842105,0
IE1.2,31,E1,Exp,2,I,0.090976346,0.102258373,0.193234719,1.062005277,1909.313799,0,0.289473684,0
IE1.3,32A,E1,Exp,3,I,0.094775861,0.110216872,0.204992733,1.081460674,1602.768813,0,0,0
IE1.4,32B,E1,Exp,4,I,0.105529594,0.156014431,0.261544025,1.239197533,840.8762603,0,0,0
IE2.1,30,E2,Exp,1,I,0.065657355,0.113047139,0.178704494,1.360887093,1973.262506,0,0.921052632,0
IE2.2,31,E2,Exp,2,I,0.04667134,0.127598984,0.174270324,1.866995077,1823.65039,0,0.394736842,0
IE2.3,32A,E2,Exp,3,I,0.053695102,0.123476078,0.17717118,1.649789025,2260.723623,0,0,0
IE2.4,32B,E2,Exp,4,I,0.066209495,0.098319679,0.164529174,1.242489268,412.7462217,0,0,0
JC1.1,29,C1,Ctrl,1,J,0.134788975,0.131241897,0.266030872,0.986842106,3020.996605,0,2.710526316,0
JC1.2,29,C1,Ctrl,2,J,0.180544597,0.274456908,0.455001505,1.260080646,1636.984091,0,2.815789474,0
JC1.3,29,C1,Ctrl,3,J,0.117195483,0.142040272,0.259235755,1.105997212,4272.366586,0,2.815789474,0
JC1.4,29,C1,Ctrl,4,J,0.139099441,0.171001409,0.31010085,1.114673243,567.9332562,0,2.684210526,0
JC2.1,29,C2,Ctrl,1,J,0.106398269,0.199410205,0.305808474,1.437093276,4148.91091,0,1.947368421,0
JC2.2,29,C2,Ctrl,2,J,0.089923163,0.395308289,0.485231452,2.69803372,1683.11065,0,1.631578947,0
JC2.3,29,C2,Ctrl,3,J,0.1231089,0.12376027,0.24686917,1.002645503,729.6747661,0,1.657894737,0
JC2.4,29,C2,Ctrl,4,J,0.156506703,0.425198,0.581704703,1.858401883,2743.228186,0,0.526315789,0
JE1.1,30,E1,Exp,1,J,0.284508593,0.205939325,0.490447918,0.861921098,1391.606937,0,0.868421053,0
JE1.2,31,E1,Exp,2,J,0.053725977,0.098120601,0.151846578,1.413157903,2865.67072,0,0,0
JE1.3,32A,E1,Exp,3,J,0.065104166,0.150067694,0.21517186,1.652519902,2146.998797,0,0,0
JE1.4,32B,E1,Exp,4,J,0.110045654,0.083603589,0.193649243,0.879858658,710.9509165,0,0,0
JE2.1,30,E2,Exp,1,J,0.130943653,0.099472217,0.23041587,0.879828326,2611.773425,0,0.447368421,0
JE2.2,31,E2,Exp,2,J,0.028774784,0.090435035,0.119209819,2.071428564,305.2844177,0,0,0
JE2.3,32A,E2,Exp,3,J,0.087257222,0.138157269,0.225414491,1.291666671,297.3747068,1,0,0
JE2.4,32B,E2,Exp,4,J,0.015727077,0.040715654,0.056442731,1.794444416,100.8586458,0,0,0
