sample,sample_uid,PC1,PC2,PC3,PC4,PC5,PC6,PC7,PC8,PC9,PC10,PC11,PC12
AE_2.1,256412,0.4253903297394676,0.001984880657821357,-0.0010596366107535646,0.0017535221961339693,0.0004547184290913365,-0.0035190094746677092,0.006759281271616445,0.004150630912836698,0.01227761581379097,0.0,0.0,0.0
AE_2.4,256413,0.4198590876678071,0.0007354660115796257,0.007097401937261681,-0.012338949953851933,-0.0012184166329403901,0.004910583450998682,-0.007314703694941426,-0.004529084849572548,-0.012572475112287878,0.0,0.0,0.0
BE_2.1,256414,-0.09044441015041295,-0.026259249827708,-0.038888023210693304,-0.004732512619227436,-0.016183469515365083,-0.03149036548810529,-0.016603310691675314,-0.007092962552970378,-0.003313513516749258,0.0,0.0,0.0
BE_2.4,256415,-0.03498216997018702,-0.035866898940091624,-0.11741621606696905,0.05020879447214463,0.01261410637804716,-0.005800475973443774,0.006543160786379815,0.002974227429179217,0.001372518072330868,0.0,0.0,0.0
CE_2.1,256416,-0.10043093136366582,0.018643523442696965,-0.04025504586625237,0.009627836105082182,-0.018565037726414883,0.0188738333553553,0.010583288345028261,0.007803825840809213,-0.006909580251509472,0.0,0.0,0.0
CE_2.4,256417,-0.09919898592762584,0.000846004611118269,-0.031215240117284195,-0.03435439829235022,-0.03327969203548049,0.028517418012483087,-0.01277735710903858,-0.00374389689762084,0.006738193121231667,0.0,0.0,0.0
DE_2.1,256418,-0.0978935766396487,0.060809208585704794,0.0032730078934502904,-0.020947796746029142,0.036261744167686294,-0.004099016515416424,-0.014386833056278154,-0.0008292913436512961,0.005214328396924227,0.0,0.0,0.0
DE_2.4,256419,-0.09566468006202278,0.07204032041694006,0.0012678144765403726,-0.019471476085007926,0.046985312024768446,0.011480952397524212,0.007621544020889811,-0.005587911198128976,-0.0034969913024524672,0.0,0.0,0.0
EE_2.1,256420,-0.09839877137357923,-0.010438942076629277,0.01855433629111249,-0.06429228542049127,-0.013767178735601975,-0.020148882870522963,0.018305693908623476,0.010103334519057478,-0.0006625603281830847,0.0,0.0,0.0
EE_2.4,256421,-0.06731414290555209,0.18175063304932876,0.06942528817199686,0.051190121046212025,-0.022278726229529745,-0.006389377413671564,0.0004588966687362419,0.0005632575989269106,0.000502611229148534,0.0,0.0,0.0
IE_2.1,256422,-0.08327768870477681,-0.12570360497239372,0.05673100677436424,0.018698786265652096,-0.003042765260600383,0.002130360631121872,0.011676667643870762,-0.023280499102678154,0.0019109086973376518,0.0,0.0,0.0
IE_2.4,256423,-0.07764406030980295,-0.13854134095836707,0.0724853063272268,0.02465835903173234,0.01201940513633897,0.005533979888346465,-0.010866328093213362,0.019468369643810653,-0.0010610548195901807,0.0,0.0,0.0
proportion_explained,0,0.7610574563681662,0.13964231315863648,0.05559772577285648,0.021998788871466154,0.010975613198981311,0.005036092572732752,0.0027236323752885187,0.0021594175256238798,0.0008089601562481102,0.0,0.0,0.0
