sample,sample_uid,PC1,PC2,PC3,PC4,PC5,PC6,PC7,PC8,PC9,PC10,PC11,PC12
AE_2.1,256412,-0.6283838611964966,0.011550634214407692,0.00562064407363482,-0.0004353082293145052,0.005503584376795941,0.002748359260091242,0.012489036291248595,-0.0004418328733820456,0.01744338163122643,0.0,0.0,0.0
AE_2.4,256413,-0.6129307942944852,0.022947637244366322,0.028836749618055494,-0.019254765143776616,-0.008937081544302209,-0.0018936178012939457,-0.013634248499855218,-0.00036723395764756066,-0.017925278085106987,0.0,0.0,0.0
BE_2.1,256414,0.11627552545681662,0.004643573940384305,-0.07219713427600212,0.015166132230653285,0.0021857210950061443,-0.037980014602640944,-0.039585284553702214,0.003605098396669641,-0.004512203250290427,0.0,0.0,0.0
BE_2.4,256415,-0.008376942630526059,-0.14100911551063738,-0.19746669628327843,0.07303261997978004,0.02460015555952738,0.003327368185928799,0.012020521597972924,0.0006178640391070189,0.0010600728994533746,0.0,0.0,0.0
CE_2.1,256416,0.15057483349597514,0.02556462956653977,-0.0652210915947954,-0.02479770013509835,-0.054649443424879325,0.022959441665497113,0.02092689458156776,0.004192363128220247,-0.00993717532506268,0.0,0.0,0.0
CE_2.4,256417,0.1469388276965498,0.035009698356239044,-0.055311872145360534,-0.07994186217622327,-0.07694801363333727,0.004213245397781405,-0.00975898042639887,-0.00392372498887545,0.010591905158959775,0.0,0.0,0.0
DE_2.1,256418,0.15162547120234082,0.08753532341010342,0.011582653811446188,-0.009673340819844322,0.05119039358594308,0.016438835357120807,-0.033915468368123376,0.0023738224994619204,0.007871415943525195,0.0,0.0,0.0
DE_2.4,256419,0.1511517341998364,0.07192536227582341,0.004006764522074864,-0.029284925340946316,0.061183570888753785,0.04612470903429058,0.010510630975097367,-0.004764304541259515,-0.005466204250386766,0.0,0.0,0.0
EE_2.1,256420,0.15059054576784273,0.049921641665040116,0.019340764389873952,-0.06524094560381562,0.04118705412611917,-0.05476083957467367,0.034318205018457955,0.005324957394063758,-0.0007210949610969722,0.0,0.0,0.0
EE_2.4,256421,0.12738791459339868,0.15630096197753876,0.08171571384654285,0.1345238110650383,-0.03356663299461264,-0.005894439903483342,0.01057733223311015,0.002062815052545599,0.0009623731334260847,0.0,0.0,0.0
IE_2.1,256422,0.13583538851450658,-0.13680945241401538,0.10197313142066175,0.007861348903843294,-0.004017239525677174,-0.0057875121082883235,-0.0007923455689311193,-0.038750760905468765,-0.0005529318482727517,0.0,0.0,0.0
IE_2.4,256423,0.11931135719423948,-0.1875808947257899,0.1371203726171468,-0.001955064730296103,-0.007732068509337055,0.01050446508967071,-0.00315629328044393,0.030070936756565397,0.0011857389536290117,0.0,0.0,0.0
proportion_explained,0,0.7739267821118151,0.09500329338972473,0.07264748951899058,0.02971075639209152,0.015457180852684537,0.006206119202169759,0.0042119111640390935,0.0020566737069887455,0.0007797936614960343,0.0,0.0,0.0
