sample,sample_uid,PC1,PC2,PC3,PC4,PC5,PC6,PC7,PC8,PC9,PC10,PC11,PC12
AE_2.1,256412,-0.22048464246688868,-0.007715680131831592,-0.00025011296001254605,-0.0027112699866741995,0.001956418471991142,0.0010971644951395048,0.0002690308664666027,-0.004265586059383052,0.005276902473701799,0.0,0.0,0.0
AE_2.4,256413,-0.2182584541826933,-0.006565408969047769,-0.002167296843888611,0.0006005402713266447,-0.003161637933212497,0.0007804529312921824,-0.000634646977914777,0.005140129722741332,-0.0051362648922565245,0.0,0.0,0.0
BE_2.1,256414,0.03633200152684242,-0.03356158964605057,-0.019788792566666092,0.008468811676065613,-0.0026745010277386557,-0.006736015330933312,0.016630959972894124,-0.0020286679862584946,-0.001795292499170383,0.0,0.0,0.0
BE_2.4,256415,0.05745043616873703,-0.005946907471282307,-0.08954950630508421,-0.035339484982486534,-0.00024939824309116277,0.005406084678142244,-0.0003538851598536074,3.616049368643566e-05,0.0007075699522110884,0.0,0.0,0.0
CE_2.1,256416,0.04356439325178971,-0.03454359657243974,-0.01319914661790194,-0.004938887546424696,0.003106761125892335,-0.007233686227771914,-0.011773574762326525,0.0043743572751022185,-0.0007794214333303583,0.0,0.0,0.0
CE_2.4,256417,0.038612735495085315,-0.030846314902968294,-0.00894712395453238,0.02936781291906386,-0.002926038490820599,-0.021844148399122253,-0.003008655822331456,-2.3445307633515335e-05,0.0016075303046205005,0.0,0.0,0.0
DE_2.1,256418,0.053631132781990075,-0.04115016529004697,0.019006054082487945,0.0145393675163551,-0.0015561316190382004,0.01211015840835706,0.003979600680681321,0.009276188680225386,0.00317689000728329,0.0,0.0,0.0
DE_2.4,256419,0.06229995560049049,-0.04767785203784988,0.01801205181603749,0.015102597742317175,-0.015805580502161014,0.012873317926495209,-0.0038539634235041954,-0.0013766704784831892,-0.000882794058486481,0.0,0.0,0.0
EE_2.1,256420,0.0349130292106519,-0.03566582745563318,0.002224067511487186,0.021703319273914376,0.021721553415684762,0.009236852403487964,-0.002480763273824458,-0.008296763802736732,-0.0017829487934669982,0.0,0.0,0.0
EE_2.4,256421,0.04552066636332147,-0.05456175748530979,0.07075023332598777,-0.048307030438803085,0.00226224220495791,-0.005931746441271386,0.001479078725135544,-0.0017058827870535824,-0.0002512046959337097,0.0,0.0,0.0
IE_2.1,256422,0.02877283574035938,0.1350586630771256,0.009452992506112824,-7.08824018991507e-05,-0.01554091261310461,0.0009082767098690683,-0.002418638912919707,-0.006928029503540616,-0.0002829619879367469,0.0,0.0,0.0
IE_2.4,256423,0.03764591051031408,0.16317643688533437,0.014456580005972537,0.0015851059572451263,0.012867225210640784,-0.0006667111536852295,0.0021654580874973543,0.0057982097533313855,0.0001419956227714408,0.0,0.0,0.0
proportion_explained,0,0.593914346028977,0.2878635830447896,0.0747240487557585,0.02783126715572599,0.005990029228973684,0.0052997680882142925,0.0024175239429705315,0.0015754438117535857,0.00038398994283696757,0.0,0.0,0.0
