sample_uid	A2ba	5624222_A	5624223_A	5624224_A	B8a	B8f	B1gb	B8i	B1is	B1ga	B1ir	2541448_B	51043_B	698733_B	B1iq	B8j	B8l	B19bw	5624220_B	B8k	2541383_B	2541329_B	5624208_B	5624209_B	5624217_B	B8h	2541307_B	3690898_B	5624210_B	2541457_B	5624211_B	3690660_B	5624227_B	5624226_B	5624212_B	5624785_B	2541615_B	2541392_B	5624228_B	5624214_B	5624213_B	5624229_B	5624215_B	5624216_B	B8d	3691359_B	4349209_B	3692159_B	5624218_B	B8	3691003_B	2546212_B	5624221_B	3690876_B	5624219_B	5625024_B	5624230_B	2541475_B	324133_B	5624283_B	5624225_B	5625068_B	5624331_B
256416	0	0	0	0	0.6348753475229023	0.0873342144842988	0.0764504808349665	0.04666150129893806	0.02424684380839524	0.03709037874299257	0	0.016480561505856615	0.022952463424638803	0.011084271455266395	0	0	0	0	0.009106239460370995	0	0.0064263251447062575	0.007055284626954104	0	0	0	0	0	0	0	0	0	0.010327697005605943	0	0.00990839068410738	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
256420	0	0	0	0	0.6765364150171124	0.04148777747781484	0.09393968422611013	0.03277046739064174	0.018671241585313813	0.03986797760147698	0	0.017356242760975017	0.0177132954218882	0.015292304208867099	0	0	0	0	0	0	0.006679497339522246	0.009788468069912652	0	0	0	0	0	0	0	0	0	0	0.025498785150092747	0	0	0.004397843750272144	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
256419	0	0	0	0	0.5864635952751719	0.08174762935672959	0.10362464709382557	0.035005760441591656	0.03915834251205895	0.048463671237039006	0	0.015559522453061896	0.030004937521364274	0.017927000645675872	0	0	0	0	0	0	0.0060642890602251006	0.010533378910453618	0	0	0	0	0.017737095977819136	0	0	0	0	0	0	0	0	0.007710129514983478	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
256414	0	0	0	0	0.6598261971575994	0.06059563682447723	0.055327238164207475	0.0487462659545578	0.026441567846474157	0.04263600977640988	0	0.01807730605594279	0.016411695482936545	0.01390422739205214	0.008681089888657553	0	0	0	0.02721100751335204	0	0.005965420476147371	0.0083733140219064	0	0	0	0	0	0	0	0.0078030234452792615	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
256418	0	0	0	0	0.5985318181135815	0.07687188186490125	0.10163181360995602	0.033186715305821186	0.03954183117409515	0.04368516655908006	0	0.01667342210479436	0.02041643523036044	0.018264703085984216	0	0	0	0	0	0	0.009032270978137401	0.014171407983426658	0	0	0	0	0.015357362676954948	0	0	0.00784631628460911	0	0	0	0	0	0.00478885502829778	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
256417	0	0	0	0	0.6371923684804697	0.05046285843305487	0.08349796793858659	0.04885414314743734	0.027489275231429217	0.04349175886204561	0	0.020616956423571912	0.015960149017836985	0.012107699254910814	0	0	0	0	0.007606118762700384	0	0.008001241815308195	0.008085911040867012	0	0	0	0	0	0	0	0	0	0.015282795213366448	0	0.014732445247234138	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0.0066183111311808535	0	0	0
256415	0	0	0	0	0.6303164791039256	0.08649019918634755	0.04554340360331801	0.04971733502403973	0.02514925767422201	0.038040893961008085	0	0	0	0	0.02108099540339198	0.02176784487768796	0.01389549321075712	0	0.03307444391609869	0	0	0	0	0	0.019073281555449885	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0.01585037248375337	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
256421	0	0	0	0	0.5055712251110056	0.13365355078332264	0.09278859132247945	0.027423273478734397	0.03205897958613756	0.019203738352555687	0	0.03749522931851397	0.029685274651623895	0.037681402254554255	0	0	0	0	0	0	0.012669068297541587	0	0	0	0	0	0	0	0	0.013925735615813528	0	0	0	0	0	0.005966842600091225	0	0	0.020153220326361156	0	0	0.018012231561897848	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0.008294004300594822	0	0	0	0	0.0054176324387723756	0
256413	0	0	0	0	0.4161726290103083	0.023017722786215958	0	0.032649501791049446	0	0	0.10819033615417104	0	0	0.005337953041655586	0.05503370927122276	0.0375846642368878	0	0.04486226907976036	0	0.03131990176602168	0	0	0.022712696898121353	0.018117755635157752	0.007473134258317821	0.01633843795460589	0	0.016725586197187507	0.01595911088864209	0	0.01256472023651238	0	0	0	0.011692659043626524	0	0.010562499022352923	0	0	0.009217256644089537	0.008927873109230553	0	0.007907209560606298	0.008431228393999594	0.007825087206119288	0.005846329521813262	0	0.00818095074222966	0.008235698978554334	0.007535703671260305	0.007559167201113735	0.0077038589685432275	0	0.007207214253312269	0.0067301224796258345	0.005510018927247415	0	0.006866993070437517	0	0	0	0	0
256412	0	0	0	0	0.418673815935	0.02216690050297604	0	0.030549834490790496	0	0	0.11077978872661474	0	0	0	0.051919476936184185	0.037080315933045956	0	0.04328251464570868	0	0.03151905016863571	0	0	0.02549662533170234	0.01799302008386842	0.007742001039561977	0.016808857380694632	0	0.016148383793775915	0.01589435549111487	0	0.013162574205575334	0	0	0	0.01279911832638338	0	0.010118142701376051	0	0	0.009449852858990844	0.009418587837124869	0	0.009008234425133951	0.008449372159279654	0.008742481739273167	0.010501139219234241	0	0.007374637032636775	0.007233944434239889	0.007913958659824838	0.007714644145429249	0.007261301328372617	0	0.006366340077459092	0.006315534416926883	0.00539321627188063	0	0	0.0067219797011845535	0	0	0	0
